Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Gini index,SI.POV.GINI,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.3,..,..,..,..,..,48.9,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Costa Rica,CRI,..,..,..,..,..,..,..,47.5,..,..,..,..,34.4,..,..,45.5,45.2,46.6,45.6,45.9,46.7,45.7,46.5,45.6,45.6,47.6,47.4,51.5,51.8,49.3,48.4,47.5,49.3,49.3,48.6,50.6,48,48.8,48.4,49.2,48.6,48.4,48.7,48.3,48,48.2,49.2,48.7,47.2,46.7
Gini index,SI.POV.GINI,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,45.5,38,40.5,36.9,..,..,..,39.4,..,..,40.6,..,..,39,..,..,..,41.3,..,..,..,..,..,43.2,..,..,..,..,..,..,41.5,..,..,37.2,..,..,35.3,..,..
Gini index,SI.POV.GINI,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.6,32.4,32.3,32.5,32,32.1,31.1,30.9,30.4,29.7,28.9,29.5,28.9,..,..
Gini index,SI.POV.GINI,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,32.9,31.4,32.7,31.2,31.7,31.3,..,..
Gini index,SI.POV.GINI,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.7,26.6,..,..,25.8,..,..,..,..,..,26.6,..,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,25,25.3,26.2,26.2,..,..
Gini index,SI.POV.GINI,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,26.2,..,..,..,..,24.7,..,..,23,..,..,..,..,23.8,..,..,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,28.2,27.7,27.5,28.3,..,..
Gini index,SI.POV.GINI,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,..,..,..,..,..,..,..,..,45.1,44.1,..,..,..,41.6,..,..,..,..,..,..
Gini index,SI.POV.GINI,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,47.8,..,..,50.4,..,..,51.1,..,..,..,47.4,48.9,..,..,51.5,50,49.7,52.1,52,50,52,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37,..
Gini index,SI.POV.GINI,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,50.5,..,..,..,..,..,..,53.3,50.8,..,..,49.6,58.6,56.3,..,..,53.5,53.9,53,52.2,53.4,49.8,48.5,48.8,45.9,46.1,46.9,45,46,45,44.7,45.4,45.7,47.3,45.8,45.5,44.6
Gini index,SI.POV.GINI,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32,..,..,..,..,30.1,..,..,..,30.8,..,..,..,..,31.8,..,..,..,31.1,..,30.2,..,28.3,..,..,31.8,..,31.5,..,31.9,..,..,..,..
Gini index,SI.POV.GINI,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.7,..,53.8,..,..,..,49.8,51,..,54.4,52.1,51.5,51.3,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,38,38.6,38.8,..,39,38.8,..
Gini index,SI.POV.GINI,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,..,..
Gini index,SI.POV.GINI,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.6,..,..,..,..,..,53.1,..,..,..,..,..,..,..,..,51.4,..,..,..,..,..,..,54.6,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.6,..,..,..,30,..,..,..,..,29.8,..,..,..,..,..,33.2,..,..,..,..,35,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.1,..,..,..,..,..,40.4,..,..,..,..,36.7,..,..,..,..,..,30.7,..,..,..,..
Gini index,SI.POV.GINI,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2,..,..,..,22.9,..,..,..,23.5,..,..,..,..,27.2,..,..,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.7,..,..
Gini index,SI.POV.GINI,France,FRA,..,35.9,..,..,..,34,..,..,..,..,33.4,..,..,..,..,..,32.1,..,..,..,..,..,32,31.9,31.7,32.5,32.6,32.5,31.8,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,..,..
Gini index,SI.POV.GINI,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,..,..,..,..,38,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.3,..,..,..,..,47.3,..,..,..,..,..,..,43.6,..,..,..,..,35.9,..,..,..,..,38.8,..,..,..
Gini index,SI.POV.GINI,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.1,40.7,41.2,40.1,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,33.5,..
Gini index,SI.POV.GINI,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.5,29.1,28.6,29.2,28.8,28,28.2,28.3,29,28.9,29.9,29.8,29.8,30.2,31.7,31,31.2,30.8,30.5,30.2,30.6,31.1,31.5,30.8,31.7,31.4,31.3,31.9,31.8,32.4,..,..,..
Gini index,SI.POV.GINI,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,35.3,36,..,..,38.4,..,..,..,..,..,..,40.1,..,..,..,..,..,..,42.8,..,..,..,..,..,..,42.4,..,..,..,43.5,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,..,..,..,..,34.2,..,..,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36,35,34.4,32.9,33.1,33.6,32.9,..,..
Gini index,SI.POV.GINI,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.8,..,..,..,..,..
Gini index,SI.POV.GINI,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,54.1,..,..,58.8,..,..,..,..,..,..,..,..,49.4,..,54.2,..,..,..,..,..,54.6,..,..,..,..,..,..,..,48.3,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.5,..,..,46.1,..,..,..,..,..,..,..,43,..,..,..,..,39.4,..,..,..,..,33.7,..,..,..,..,..,29.6,..,..,..,..,..
Gini index,SI.POV.GINI,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.8,..,43.6,..,..,..,..,..,..,..,..,35.6,..,..,..,..,..,..,..,50.6,..,..,..,..,..,..,..,34.8,..,..,33.4,..,..
Gini index,SI.POV.GINI,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.5,..,..,..,..,..,45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.1,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.4,55.9,51.8,51.8,53.4,55,55.5,55.7,52.7,57.3,55.2,..,55.4,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,52.6,53.4,50,49.9,49.2,49.8,49.4,48.9,48.2,..,..,..,..
Gini index,SI.POV.GINI,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,29.6,30,29.7,29.2,..,..
Gini index,SI.POV.GINI,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,27.2,26.1,..,..,..,..,..,..
Gini index,SI.POV.GINI,India,IND,..,..,..,33.2,..,..,..,..,..,32,..,..,..,32.5,..,..,..,..,..,31.6,..,..,..,..,..,..,..,..,..,..,34,..,..,..,..,34.9,..,35.4,..,..,..,34.7,34.7,35.9,34.5,33.8,33.8,32.8,..,..
Gini index,SI.POV.GINI,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,32.3,..,..,30.4,..,..,31.1,..,..,31.8,..,..,34.2,..,30.9,30.8,30.3,31.2,30.2,29.3,30.4,29.9,31.5,33.2,32.6,33.4,34.6,37.9,37.1,38.9,38.8,38.2,36.9,36.4,36.3,35.4,35.3,35.5,35.5,36.1
Gini index,SI.POV.GINI,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,47.4,..,..,..,43.6,..,..,..,43,..,..,..,44.1,..,..,..,..,..,..,43.6,44.8,..,..,42.1,..,34.7,34.4,34,34.8,35.3,35.9,36.7,37.4,36.5,35.8,35.5,34.8,..
Gini index,SI.POV.GINI,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.6,..,..,..,..,..,29.5,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,35.5,..,..,..,..,..,..,36.9,37,35.6,..,..,..,33,..,32.3,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,31.4,30.6,30.8,29.2,30.1,..,..
